text,label
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral
"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",positive
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral
The company said that the results of the third quarter do not include non-recurring items .,neutral
"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",neutral
Orders received grew by 55 % year-on-year to EUR732m .,positive
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,neutral
"The competition was received with great enthusiasm by the employees , he goes on .",positive
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral
"Tiimari 's registered share capital is 16,474,755 shares as per today .",neutral
"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",neutral
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive
"The total value of the agreement is USD4 .0 m , the company said .",neutral
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",neutral
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive
` Nordic infrastructure construction is one of our strategic growth areas .,neutral
EUR 152.4 mn of this was net interest income .,neutral
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative
"Exel Composites ' long-term growth prospects remain favourable , however .",positive
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral
"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",positive
No financial details were available .,neutral
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive
The Swedish player became majority owner of UCell in mid-2007 .,neutral
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",negative
"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",neutral
The Group 's cash flow from operations will be positive .,positive
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,negative
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral
Device volume in the area decreased by 21 % to 2.7 mn units .,negative
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive
The plant is expected to enter commercial operation by mid-2009 .,neutral
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",neutral
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",neutral
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,negative
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",neutral
"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",neutral
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral
The acquisition price was not disclosed .,neutral
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive
"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",neutral
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive
Terms of the acquisition were not disclosed .,neutral
The situation of coated magazine printing paper will continue to be weak .,negative
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative
The company will also be compensated for acting as a reserve batch plant .,positive
It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .,neutral
"The important thing now is to keep the bank 's existing 15,000 customers .",neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",positive
