text,label
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative
The expansion is to be finalized in the autumn of 2009 .,neutral
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",positive
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",neutral
The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral
The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive
SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions,neutral
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive
The share subscription period will expire on 30 September 2007 .,neutral
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral
The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",neutral
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",neutral
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral
The aim is to develop open-source application solutions .,neutral
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,neutral
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",negative
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,neutral
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",negative
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",neutral
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral
Total value of the contract is about EUR 10mn .,neutral
"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",neutral
Protalix has $ 42 million in cash and no sales .,neutral
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,neutral
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .,neutral
"CompaniesandMarkets.com provides a wide range of research reports , industry statistics and competitive intelligence on the industrial sector .",neutral
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive
The divested stake represented about 2.7 m shares in Okmetic 's capital .,neutral
The value of the contract is EUR 25mn .,neutral
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",neutral
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",neutral
Her present position is the director of Stockmann 's international department stores .,neutral
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",neutral
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide .",neutral
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,neutral
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",negative
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative
The company then said it will focus its resources on clinical research .,neutral
The restructuring measures will not affect the production of packaging printing material .,neutral
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral
"According to Finnish financial services group Sampo 's CEO , Bj+Ârn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history .",neutral
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",neutral
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",neutral
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral
No financial information was provided .,neutral
Yakima created the position for him after emerging from economic downturns of its own .,neutral
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",negative
